,,,,,,,,,,,,,,,
,Inscriptions,,,,,,,,,,,Historique 2026,Historique 2025,,Historique 2024
,,,,,,,,,,,,,,,
,,,,,,,,,,,,14/07/2026 : 60,Au : 14/07/2025,12,
,,H,F,TOTAL,Présent en 2025,Présent en 2024,,,2025,2024,,15/07/2026 : 62,Au : 15/07/2025,13,
,8 KM,27,26,53,3,1,,,78,116,,19/07/2026 - 66,Au : 16/07/2025,14,
,,50.9%,49.1%,,5.7%,1.9%,,,,,,08/08/2026 - 88 + 10 = 98,Au : 25/07/2025,15,
,15 Km,63,41,104,15,6,,,76,88,,15/08/2026 - 94 + 10 = 104,Au : 29/07/2025,20,
,,60.6%,39.4%,,14.4%,5.8%,,,,,,16/08/2026 - 99 + 10 = 109,Au : 31/07/2025,21,
,25 Km,48,11,59,4,1,,,45,,,23/08/2026 - 104 + 10 = 114,Au : 05/08/2025,22,
,,81.4%,18.6%,,6.8%,1.7%,,,,,,30/08/2026 - 115 + 13  = 128,Au : 08/08/2025,24,
,TOTAL,138,78,216,22,8,,,199,204,,31/08/2026 - 117 + 15 = 132,Au : 10/08/2025,25,
,,63.9%,36.1%,,10.2%,3.7%,,,,,,02/09/2026 - 120 + 15 = 135,Au : 17/08/2025,28,
,,,,,,,,,,,,04/09/2026 - 128 + 15 = 143,Au : 19/08/2025,29,
,,,,,,,,,,,,06/09/2026 - 131 + 17 = 148,Au : 24/08/2025,32,
,,Marcheurs 12 Km,,,34,,,,85,84,,07/09/2026 : 143 + 17 = 160,Au : 26/08/2025,33,
,,,,,,,,,,,,08/09/2026 - 149 + 17 = 166,Au : 27/08/2025,35,
,,,,,250,,,,284,288,,12/09/2026 - 161 + 17 = 178,Au : 28/08/2025,37,
,,,,,,,,,,,,13/09/2026 : 165 + 19 = 184,Au : 29/08/2025,38,
,,,,,,,,,,,,14/09/2026 : 171 + 19 = 190,Au : 30/08/2025,40,
,,,,,,,,,,,,20/09/2026 : 191 + 31 = 222,Au : 31/08/2025,43,
,,,,,,,,,,,,21/09/2026 : 205 + 34 = 239,Au : 01/09/2025,44,
,,,,,,,,,,,,,Au : 02/09/2025,48,
,,,,,,,,,,,,,Au : 04/09/2025,51,
,,,,,,,,,,,,,Au : 05/09/2025,53,
,,,,,,,,,,,,,Au : 06/09/2025,54,
,,,,,,,,,,,,,Au : 07/09/2025,58,
,,,,,,,,,,,,,Au : 08/09/2025,60,
,,,,,,,,,,,,,Au : 09/09/2025,65,
,,,,,,,,,,,,,Au : 10/09/2025,70,
,,,,,,,,,,,,,Au : 11/09/2025,73,
,,,,,,,,,,,,,Au : 12/09/2025,76,
,,,,,,,,,,,,,Au : 13/09/2025,78,
,,,,,,,,,,,,,Au : 14/09/2025,81,
,,,,,,,,,,,,,Au : 15/09/2025,83,
,,,,,,,,,,,,,Au : 16/09/2025,87,
,,,,,,,,,,,,,Au : 17/09/2025,88,
,,,,,,,,,,,,,Au : 18/09/2025,96,
,,,,,,,,,,,,,Au : 19/09/2025,97,
,,,,,,,,,,,,,Au : 20/09/2025,107,
,,,,,,,,,,,,,Au : 21/09/2025,126,
,,,,,,,,,,,,,Au : 22/09/2025,133,
,,,,,,,,,,,,,Au : 23/09/2025,145,
,,,,,,,,,,,,,Au : 24/09/2025,153,
,,,,,,,,,,,,,Au : 25/09/2025,173,
,,,,,,,,,,,,,Au : 26/09/2025,219,
,,,,,,,,,,,,,Au : 27/09/2025,237,
